"country","forecast_year","forecast_quarter","target_year","target_quarter","horizon","target","tau","lower_bound","upper_bound","truth_value","prediction","covered","IS"
"CAN",1947,NA,NA,NA,1,"cpi",0.1,13.1567554587221,13.1567554587221,3.41276022321824,NA,FALSE,21.6533227455641
"CAN",1948,NA,NA,NA,1,"cpi",0.1,7.79755807919498,8.77195760274536,2.59031220731124,NA,FALSE,12.5460570166254
"CAN",1949,NA,NA,NA,1,"cpi",0.1,3.33051542162754,4.38715974676863,9.87945438999359,NA,FALSE,13.2617435323077
"CAN",1950,NA,NA,NA,1,"cpi",0.1,5.67610318158961,7.61611143162222,2.55562336095485,NA,FALSE,8.8744078514432
"CAN",1951,NA,NA,NA,1,"cpi",0.1,3.24827062003684,4.70609905657331,-1.01492775838436,NA,FALSE,10.9316026108058
"CAN",1952,NA,NA,NA,1,"cpi",0.1,2.79592421128799,3.20714821924149,0.644425455961438,NA,FALSE,5.19233235312361
"CAN",1953,NA,NA,NA,1,"cpi",0.1,2.57990555340432,2.83704661208334,0.173649026558865,NA,FALSE,5.60437778500225
"CAN",1954,NA,NA,NA,1,"cpi",0.1,2.56082668790831,2.58510888035778,1.32752769429961,NA,FALSE,2.76494662269102
"CAN",1955,NA,NA,NA,1,"cpi",0.1,2.06438509429275,2.5694988994974,3.24684755852518,NA,FALSE,2.01033304748859
"CAN",1956,NA,NA,NA,1,"cpi",0.1,2.55735780327267,2.58857776499342,2.33186388641149,NA,FALSE,0.53231755474559
"CAN",1957,NA,NA,NA,1,"cpi",0.1,2.44374362368317,2.57296778413304,1.19382698397654,NA,FALSE,2.90681669313127
"CAN",1958,NA,NA,NA,1,"cpi",0.1,2.2816470768059,2.55735780327267,1.34209404870695,NA,FALSE,2.36360634446442
"CAN",1959,NA,NA,NA,1,"cpi",0.1,1.73800198378877,2.4661195711375,1.00921348094007,NA,FALSE,2.34764759367917
"CAN",1960,NA,NA,NA,1,"cpi",0.1,1.33990909554585,2.36542780759299,1.04957947883042,NA,FALSE,1.67069563808144
"CAN",1961,NA,NA,NA,1,"cpi",0.1,1.33189760062181,2.03493293510013,1.60677118395228,NA,TRUE,0.703035334478318
"CAN",1962,NA,NA,NA,1,"cpi",0.1,1.33845246010512,1.78804435956709,1.88764670034376,NA,FALSE,0.670930434521247
"CAN",1963,NA,NA,NA,1,"cpi",0.1,1.39502947575602,1.83147159706546,2.29538304394236,NA,FALSE,1.46735644770254
"CAN",1964,NA,NA,NA,1,"cpi",0.1,1.51413418661642,2.03035442060327,3.72486065470629,NA,FALSE,4.28178964310468
"CAN",1965,NA,NA,NA,1,"cpi",0.1,1.63485873559143,2.2546094095825,3.49360316391996,NA,FALSE,3.37307012807432
"CAN",1966,NA,NA,NA,1,"cpi",0.1,1.7612527179676,2.31179942305347,3.95128347779386,NA,FALSE,4.19384460450896
"CAN",1967,NA,NA,NA,1,"cpi",0.1,1.88764670034376,2.33186388641149,4.42679496126681,NA,FALSE,5.09961957463512
"CAN",1968,NA,NA,NA,1,"cpi",0.1,2.07112805496313,2.45493159741034,3.28128405769805,NA,FALSE,2.22014234308656
"CAN",1969,NA,NA,NA,1,"cpi",0.1,2.2546094095825,2.55909224559049,2.64123406634756,NA,FALSE,0.487020215468158
"CAN",1970,NA,NA,NA,1,"cpi",0.1,2.30815133880655,2.5781711110865,4.83230569625923,NA,FALSE,5.27920773933046
"CAN",1971,NA,NA,NA,1,"cpi",0.1,2.32456771791766,2.6004965791185,7.12388603531779,NA,FALSE,10.3279054305326
"CAN",1972,NA,NA,NA,1,"cpi",0.1,2.38780375504733,2.62850360158848,10.2717243737774,NA,FALSE,17.2256348958499
"CAN",1973,NA,NA,NA,1,"cpi",0.1,2.48849551859184,2.82291811400085,10.0232981493341,NA,FALSE,16.3352671183718
"CAN",1974,NA,NA,NA,1,"cpi",0.1,2.56082668790831,3.15600553469853,7.22784311401172,NA,FALSE,9.64370680081952
"CAN",1975,NA,NA,NA,1,"cpi",0.1,2.57643666876868,3.26062215819432,7.58101410153764,NA,FALSE,10.285056474633
"CAN",1976,NA,NA,NA,1,"cpi",0.1,2.59285830026305,3.2795622327394,8.50208927062595,NA,FALSE,12.2923195722242
"CAN",1977,NA,NA,NA,1,"cpi",0.1,2.6157731368294,3.34702214045814,8.65147652410481,NA,FALSE,12.5189254117324
"CAN",1978,NA,NA,NA,1,"cpi",0.1,2.63868797339575,3.41680237025333,9.5171912664748,NA,FALSE,14.3345341662386
"CAN",1979,NA,NA,NA,1,"cpi",0.1,2.88347946321861,3.46126598763927,11.5813425032741,NA,FALSE,18.6224010036093
"CAN",1980,NA,NA,NA,1,"cpi",0.1,3.15600553469853,3.52829178753791,10.1124203763629,NA,FALSE,15.003683116895
