"country","forecast_year","forecast_quarter","target_year","target_quarter","horizon","target","tau","lower_bound","upper_bound","truth_value","prediction","covered","IS"
"CAN",1957,NA,NA,NA,1,"cpi",0.1,2.57296778413304,2.91857988291821,2.33186388641149,NA,FALSE,0.881398538166394
"CAN",1958,NA,NA,NA,1,"cpi",0.1,2.44374362368317,2.57296778413304,1.19382698397654,NA,FALSE,2.90681669313127
"CAN",1959,NA,NA,NA,1,"cpi",0.1,1.82969579035555,2.44374362368317,1.34209404870695,NA,FALSE,1.69760725921339
"CAN",1960,NA,NA,NA,1,"cpi",0.1,1.33481087150328,1.83697896755922,1.00921348094007,NA,FALSE,1.22571785286307
"CAN",1961,NA,NA,NA,1,"cpi",0.1,1.26067733913807,1.33481087150328,1.04957947883042,NA,FALSE,0.543239888604448
"CAN",1962,NA,NA,NA,1,"cpi",0.1,1.12170323140348,1.26067733913807,1.60677118395228,NA,FALSE,0.908071540655062
"CAN",1963,NA,NA,NA,1,"cpi",0.1,1.12170323140348,1.26067733913807,1.88764670034376,NA,FALSE,1.53223935485834
"CAN",1964,NA,NA,NA,1,"cpi",0.1,1.26067733913807,1.33481087150328,2.29538304394236,NA,FALSE,2.2087383600076
"CAN",1965,NA,NA,NA,1,"cpi",0.1,1.33481087150328,1.47443261632962,3.72486065470629,NA,FALSE,5.14057294121894
"CAN",1966,NA,NA,NA,1,"cpi",0.1,1.47443261632962,1.74720894214802,3.49360316391996,NA,FALSE,4.15365237420049
"CAN",1967,NA,NA,NA,1,"cpi",0.1,1.74720894214802,2.09151487214306,3.95128347779386,NA,FALSE,4.47712505366348
"CAN",1968,NA,NA,NA,1,"cpi",0.1,1.74720894214802,2.09151487214306,4.42679496126681,NA,FALSE,5.53381723915894
"CAN",1969,NA,NA,NA,1,"cpi",0.1,1.74720894214802,2.09151487214306,3.28128405769805,NA,FALSE,2.98823745345057
"CAN",1970,NA,NA,NA,1,"cpi",0.1,2.09151487214306,2.7883335508202,2.64123406634756,NA,TRUE,0.696818678677143
"CAN",1971,NA,NA,NA,1,"cpi",0.1,2.46830855514496,2.9612590620228,4.83230569625923,NA,FALSE,4.65083191629212
"CAN",1972,NA,NA,NA,1,"cpi",0.1,2.9612590620228,3.387443610809,7.12388603531779,NA,FALSE,8.72938993658351
