method;variation;dataset;target;horizon;tau;coverage;mean_IS;WIS_58;WIS_all;frequency;best WIS_58;best WIS_all;best cov_0.5;best cov_0.8;abs_cov_dev;cov_group_norm;WIS_all_group_norm
ald_quantiles_prediction;;AR(1);cpi;1.5;0.4;0.261905;2.610196;0.47034;0.63232;annually;0.39469;0.52627;0.5;0.797619;0.138095;0.769226296;0.256456761
ald_quantiles_prediction;;AR(1);cpi;1.5;0.5;0.357143;2.904912;0.47034;0.63232;annually;0.39469;0.52627;0.5;0.797619;0.142857;0.75;0.256456761
ald_quantiles_prediction;;AR(1);cpi;1.5;0.6;0.428571;3.266923;0.47034;0.63232;annually;0.39469;0.52627;0.5;0.797619;0.171429;0.739133293;0.256456761
ald_quantiles_prediction;;AR(1);cpi;1.5;0.7;0.559524;3.773994;0.47034;0.63232;annually;0.39469;0.52627;0.5;0.797619;0.140476;0.513272725;0.256456761
ald_quantiles_prediction;;AR(1);cpi;1.5;0.8;0.666667;4.49631;0.47034;0.63232;annually;0.39469;0.52627;0.5;0.797619;0.133333;0.54999895;0.256456761
ald_quantiles_prediction;;AR(1);cpi;1.5;0.9;0.761905;5.722651;0.47034;0.63232;annually;0.39469;0.52627;0.5;0.797619;0.138095;0.50819469;0.256456761
ald_quantiles_prediction;;AR(1);gdp;0;0.1;0.047619;0.316488;0.07906;0.10544;annually;0.07661;0.1035;0.5;0.797619;0.052381;0.156249043;0.002366662
ald_quantiles_prediction;;AR(1);gdp;0;0.2;0.154762;0.348851;0.07906;0.10544;annually;0.07661;0.1035;0.5;0.797619;0.045238;0.118109273;0.002366662
ald_quantiles_prediction;;AR(1);gdp;0;0.3;0.22619;0.386087;0.07906;0.10544;annually;0.07661;0.1035;0.5;0.797619;0.07381;0.27777929;0.002366662
ald_quantiles_prediction;;AR(1);gdp;0;0.4;0.333333;0.429233;0.07906;0.10544;annually;0.07661;0.1035;0.5;0.797619;0.066667;0.22413918;0.002366662
ald_quantiles_prediction;;AR(1);gdp;0;0.5;0.392857;0.481944;0.07906;0.10544;annually;0.07661;0.1035;0.5;0.797619;0.107143;0.321429321;0.002366662
ald_quantiles_prediction;;AR(1);gdp;0;0.6;0.464286;0.545696;0.07906;0.10544;annually;0.07661;0.1035;0.5;0.797619;0.135714;0.319525524;0.002366662
ald_quantiles_prediction;;AR(1);gdp;0;0.7;0.595238;0.630119;0.07906;0.10544;annually;0.07661;0.1035;0.5;0.797619;0.104762;0.224377679;0.002366662
ald_quantiles_prediction;;AR(1);gdp;0;0.8;0.761905;0.771718;0.07906;0.10544;annually;0.07661;0.1035;0.5;0.797619;0.038095;0.068181341;0.002366662
ald_quantiles_prediction;;AR(1);gdp;0;0.9;0.845238;1.089197;0.07906;0.10544;annually;0.07661;0.1035;0.5;0.797619;0.054762;0.090909091;0.002366662
ald_quantiles_prediction;;AR(1);gdp;0.5;0.1;0.059524;1.587505;0.39058;0.52311;annually;0.39041;0.52186;0.488095;0.797619;0.040476;0.326083781;0.002906639
ald_quantiles_prediction;;AR(1);gdp;0.5;0.2;0.071429;1.747152;0.39058;0.52311;annually;0.39041;0.52186;0.488095;0.797619;0.128571;1;0.002906639
ald_quantiles_prediction;;AR(1);gdp;0.5;0.3;0.154762;1.919156;0.39058;0.52311;annually;0.39041;0.52186;0.488095;0.797619;0.145238;0.9193532;0.002906639
